iter	Passed	Remaining
0	1	133
1	2	125
2	3	121
3	4	111
4	5	108
5	7	111
6	8	111
7	9	109
8	10	109
9	11	107
10	13	105
11	14	103
12	15	101
13	16	99
14	17	98
15	18	96
16	19	94
17	20	93
18	21	93
19	23	92
20	24	91
21	25	90
22	26	89
23	27	87
24	28	86
25	29	85
26	30	83
27	31	82
28	32	80
29	34	79
30	35	78
31	36	77
32	37	76
33	38	75
34	39	74
35	41	72
36	42	71
37	43	70
38	44	69
39	45	67
40	46	66
41	46	64
42	47	63
43	48	62
44	49	61
45	51	59
46	53	60
47	54	59
48	55	58
49	56	56
50	57	55
51	59	54
52	60	53
53	61	52
54	61	50
55	62	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	44
61	69	42
62	70	41
63	71	40
64	72	39
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	91	16
85	92	15
86	93	14
87	94	12
88	95	11
89	96	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
